name,collection,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,r_max_mm,count,spool,axis_x,axis_y,axis_z,spin
blades_fan_r1,01 Inlet and Fan,titanium,23040,21088,3.5,201.5,-590.0,590.0,-590.0,590.0,590.0,,lp,1.0,0.0,0.0,1.0
blades_fan_r2,01 Inlet and Fan,titanium,31680,28996,298.5,436.5,-582.9,582.9,-582.9,582.9,583.0,,lp,1.0,0.0,0.0,1.0
blades_fan_r3,01 Inlet and Fan,titanium,37440,34268,511.0,619.0,-574.7,574.7,-574.7,574.7,575.0,,lp,1.0,0.0,0.0,1.0
blades_hpc_r1,02 HP Compressor,titanium,27360,25042,781.0,860.2,-456.8,456.8,-458.0,458.0,458.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r2,02 HP Compressor,titanium,31680,28996,907.2,976.8,-444.0,444.0,-444.0,444.0,445.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r3,02 HP Compressor,titanium,36000,32950,1020.3,1081.5,-431.3,431.3,-432.0,432.0,432.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r4,02 HP Compressor,titanium,40320,36904,1122.3,1176.3,-419.4,419.4,-419.4,419.4,420.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r5,02 HP Compressor,titanium,44640,40858,1213.1,1261.1,-408.5,408.5,-409.0,409.0,409.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r6,02 HP Compressor,titanium,48960,44812,1294.7,1336.7,-397.6,397.6,-397.6,397.6,398.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r7,02 HP Compressor,titanium,53280,48766,1367.0,1404.2,-386.7,386.7,-387.0,387.0,387.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r8,02 HP Compressor,titanium,57600,52720,1431.9,1464.3,-375.8,375.8,-375.8,375.8,376.0,,hp,1.0,0.0,0.0,-1.0
blades_hpc_r9,02 HP Compressor,titanium,61920,56674,1488.4,1517.2,-365.8,365.8,-366.0,366.0,366.0,,hp,1.0,0.0,0.0,-1.0
brg_1_lp_thrust,08 Shafts and Bearings,steel,4788,5112,-83.0,-37.0,-150.0,150.0,-150.0,150.0,150.0,,,,,,
brg_2_lp_roller,08 Shafts and Bearings,steel,2258,2606,671.0,709.0,-148.0,148.0,-148.0,148.0,148.0,,,,,,
